INLINE PlayerClassGrowthsTable,HP Growth,STR Growth,SKL Growth,SPD Growth,DEF Growth,RES Growth,LUK Growth,MAG Growth
Gorgon Egg,100,0,0,0,0,0,0,0
Great Knight,70,30,20,15,21,20,20,0
Great Knight (F),70,30,25,20,21,22,20,0
Recruit (2),75,45,40,40,25,35,40,0
Journeyman (3),85,55,40,32,18,20,40,0
Pupil (3),55,55,40,35,10,30,40,55
Recruit (3),75,45,40,40,25,35,40,0
Manakete,95,40,30,20,0,10,25,0
Manakete (F),95,40,30,20,0,10,25,0
Journeyman (1),85,55,40,32,18,20,40,0
Pupil (1),55,55,40,35,10,30,40,55
Fighter,85,55,35,30,15,15,15,0
Warrior,80,45,25,20,16,17,15,0
Brigand,82,50,30,20,10,13,15,0
Pirate,75,50,35,25,10,13,15,0
Berserker,75,50,35,25,10,13,15,0
Monk,50,30,35,32,8,40,45,30
Priest,50,30,35,32,8,50,45,30
Bard,45,45,30,60,0,13,70,45
Recruit (1),75,45,40,40,25,35,40,0
Pegasus Knight,65,35,40,40,12,35,35,10
Falcon Knight,60,30,30,30,12,30,30,30
Cleric,50,30,35,32,8,50,45,30
Troubadour,50,25,35,55,12,40,45,25
Valkyrie,45,35,25,45,10,40,40,35
Dancer,45,45,30,60,0,13,70,45
Soldier,80,50,30,20,12,15,25,0
Necromancer,45,55,30,25,10,35,20,55
Fleet,75,35,40,32,15,15,15,0
Phantom,0,55,35,45,15,15,50,0
Revenant,95,50,30,20,10,13,10,0
Entombed,85,40,25,17,10,13,50,0
Bonewalker,80,50,30,20,12,15,10,0
Bonewalker (Bow),70,35,40,32,15,15,10,0
Wight,65,25,25,20,15,22,10,0
Wight (Bow),65,30,30,20,15,20,10,0
Bael,82,50,30,20,18,13,15,0
Elder Bael,85,45,25,20,21,17,10,0
Cyclops,95,30,35,25,24,25,10,0
Mauthe Doog,70,35,45,45,15,20,30,0
Gwyllgi,65,28,35,35,16,22,25,0
Tarvos,80,35,40,28,15,15,10,0
Maelduin,75,30,30,18,13,20,10,0
Mogall,50,45,32,30,10,28,30,45
Arch Mogall,45,55,30,25,10,28,20,55
Gorgon,45,60,30,25,10,40,30,60
Gorgon Egg,100,0,0,0,0,0,0,0
Gargoyle,80,45,35,35,25,15,10,0
Deathgoyle,75,40,30,25,20,17,10,0
Dracozombie,85,35,20,20,30,10,25,30
Demon King,95,40,30,20,20,20,25,40
Archer on Ballista,0,0,0,0,0,10,0,0
Archer on Iron Ballista,0,0,0,0,0,0,0,0
Archer on Killer Ballista,0,0,0,0,0,0,0,0
Ballista,0,0,0,0,0,0,0,0
Iron Ballista,0,0,0,0,0,0,0,0
Killer Ballista,0,0,0,0,0,0,0,0
Civilian,10,0,0,0,0,10,0,0
Civilian (F),10,0,0,0,0,10,0,0
Civilian,10,0,0,0,0,10,0,0
Civilian (F),10,0,0,0,0,10,0,0
Civilian,10,0,0,0,0,10,0,0
Civilian (F),10,0,0,0,0,10,0,0
Peer,10,0,0,0,0,10,0,0
Queen,10,0,0,0,0,10,0,0
Prince,10,0,0,0,0,10,0,0
Queen,10,0,0,0,0,10,0,0
(empty),0,0,0,0,0,0,0,0
Fallen Prince,10,0,0,0,0,10,0,0
Tent,10,0,0,0,0,10,0,0
Pontifex,10,0,0,0,0,10,0,0
Dead Peer,10,0,0,0,0,10,0,0
Cyclops,95,30,35,25,24,25,10,0
Elder Bael,85,45,25,20,21,17,10,0
Journeyman (2),85,55,40,32,18,20,40,0
Pupil (2),55,55,40,35,10,30,40,55
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
Ephraim Lord,10,10,10,10,10,10,10,10
